productID,lastVisitedTime,avgRating,name,price,discount,brand,description,imgURL,visibility,isDeleted
AH2430,2020-04-13T15:06:14,0,Women's adidas Originals NMD_Racer Primeknit Shoes,149.99,0,Adidas,"Channeling the streamlined look of an '80s racer, these shoes are updated with modern features. The foot-hugging adidas Primeknit upper offers a soft, breathable feel. The Boost midsole provides responsive comfort accented with a contrast-color EVA heel plug. Embroidered details add a distinctive finish.","[""https://shop.adidas.co.in/#!product/AH2430_nmd_racerpkw""]",1,0
G27341,2020-04-13T15:06:15,0,Women's adidas Originals Sleek Shoes,75.99,0,Adidas,"A modern take on adidas sport heritage, tailored just for women. Perforated 3-Stripes on the leather upper of these shoes offer a sleek look that mirrors iconic tennis styles.","[""https://shop.adidas.co.in/#!product/G27341_adidassleekw""]",1,0
CM0081,2020-04-13T15:06:15,0,Women's adidas Swim Puka Slippers,9.99,0,Adidas,These adidas Puka slippers for women's come with slim straps for a great fit. Feature performance logo on the footbed and textured Rubber outsole that gives unique comfort.,"[""https://shop.adidas.co.in/#!product/CM0081_pukaws""]",1,0
B44832,2020-04-13T15:06:15,0,Women's adidas Sport Inspired Questar Ride Shoes,69.99,0,Adidas,"Inspired by modern tech runners, these women's shoes step out with unexpected style. They're built with a breathable knit upper, while the heel offers the extra support of an Achilles-hugging design. The cushioned midsole provides a soft landing with every stride.","[""https://shop.adidas.co.in/#!product/B44832_questarride""]",1,0
D98205,2020-04-13T15:06:15,0,Women's adidas Originals Taekwondo Shoes,79.99,0,Adidas,"This design is inspired by vintage Taekwondo styles originally worn to perfect high kicks and rapid foot strikes. The canvas shoes make a streetwear fashion statement as a chic, foot-hugging slip-on. They're shaped for a narrow, women's-specific fit and ride on a soft gum rubber outsole.","[""https://shop.adidas.co.in/#!product/D98205_taekwondow""]",1,0
B75586,2020-04-13T15:06:15,0,Women's adidas Sport Inspired Duramo Lite 2.0 Shoes,47.99,0,Adidas,"Refine your interval training in these women's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure.","[""https://shop.adidas.co.in/#!product/B75586_duramolite20""]",1,0
CG4051,2020-04-13T15:06:15,0,Women's adidas Sport Inspired Duramo Lite 2.0 Shoes,47.99,0,Adidas,"Refine your interval training in these women's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure.","[""https://shop.adidas.co.in/#!product/CG4051_duramolite20""]",1,0
CM0080,2020-04-13T15:06:15,0,Women's adidas Swim Puka Slippers,9.99,0,Adidas,These adidas Puka slippers for women's come with slim straps for a great fit. Feature performance logo on the footbed and textured Rubber outsole that gives unique comfort.,"[""https://shop.adidas.co.in/#!product/CM0080_pukaws""]",1,0
B75990,2020-04-13T15:06:15,0,WOMEN'S ADIDAS RUNNING DURAMO 9 SHOES,55.99,0,Adidas,"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride.","[""https://shop.adidas.co.in/#!product/B75990_duramo9""]",1,0
EE5761,2020-04-13T15:06:15,0,Men's adidas Originals Forest Grove Shoes,65.99,0,Adidas,"The Forest Grove brings back the look of the adidas Oregon running design from the '80s. A favourite for marathon training, it had a distinctive look and feel with shock-absorbing cushioning and a web-wrapped midsole. These streetwear shoes echo the original look with a textured nubuck and mesh upper. A web overlay on the midsole adds authentic Oregon style.","[""https://shop.adidas.co.in/#!product/EE5761_forestgrove""]",1,0
